Temperature,Year,Statistics,Country,ISO3
19.2606,1932,Aug Average,Bolivia,BOL
19.3559,1933,Aug Average,Bolivia,BOL
19.2189,1934,Aug Average,Bolivia,BOL
19.0482,1935,Aug Average,Bolivia,BOL
18.8537,1936,Aug Average,Bolivia,BOL
20.4102,1937,Aug Average,Bolivia,BOL
18.9488,1938,Aug Average,Bolivia,BOL
19.7013,1939,Aug Average,Bolivia,BOL
19.5353,1940,Aug Average,Bolivia,BOL
20.2136,1941,Aug Average,Bolivia,BOL
19.8468,1942,Aug Average,Bolivia,BOL
18.9413,1943,Aug Average,Bolivia,BOL
20.3542,1944,Aug Average,Bolivia,BOL
20.9937,1945,Aug Average,Bolivia,BOL
18.9589,1946,Aug Average,Bolivia,BOL
18.6998,1947,Aug Average,Bolivia,BOL
19.4883,1948,Aug Average,Bolivia,BOL
19.0035,1949,Aug Average,Bolivia,BOL
19.4857,1950,Aug Average,Bolivia,BOL
18.5478,1951,Aug Average,Bolivia,BOL
19.8904,1952,Aug Average,Bolivia,BOL
21.0417,1953,Aug Average,Bolivia,BOL
19.4295,1954,Aug Average,Bolivia,BOL
19.371,1955,Aug Average,Bolivia,BOL
17.9889,1956,Aug Average,Bolivia,BOL
19.2476,1957,Aug Average,Bolivia,BOL
18.1672,1958,Aug Average,Bolivia,BOL
18.6918,1959,Aug Average,Bolivia,BOL
18.729,1960,Aug Average,Bolivia,BOL
20.8401,1961,Aug Average,Bolivia,BOL
19.3092,1962,Aug Average,Bolivia,BOL
21.0862,1963,Aug Average,Bolivia,BOL
20.0053,1964,Aug Average,Bolivia,BOL
20.077,1965,Aug Average,Bolivia,BOL
18.5767,1966,Aug Average,Bolivia,BOL
20.0289,1967,Aug Average,Bolivia,BOL
19.9864,1968,Aug Average,Bolivia,BOL
19.5282,1969,Aug Average,Bolivia,BOL
19.6348,1970,Aug Average,Bolivia,BOL
19.2819,1971,Aug Average,Bolivia,BOL
18.9879,1972,Aug Average,Bolivia,BOL
18.0912,1973,Aug Average,Bolivia,BOL
18.7866,1974,Aug Average,Bolivia,BOL
19.2124,1975,Aug Average,Bolivia,BOL
18.9037,1976,Aug Average,Bolivia,BOL
18.644000000000002,1977,Aug Average,Bolivia,BOL
18.3135,1978,Aug Average,Bolivia,BOL
20.2525,1979,Aug Average,Bolivia,BOL
19.0522,1980,Aug Average,Bolivia,BOL
18.9357,1981,Aug Average,Bolivia,BOL
19.492,1982,Aug Average,Bolivia,BOL
